id,efecto vacuna covid,lat,lon
69,"['ey', 'dolor brazo', 'potente', 'vacuna', 'moderna']",19.0714677,-99.9024488
70,"['regreso', 'vacunada', 'proceso', 'durar', 'veinte', 'minuto', 'agil', 'chance', 'reposar', 'ratito', 'dolor brazo', 'moderna', 'vacunacionanticovid']",19.484399,-99.118665
71,"['vacuna', 'astrazeneca', 'seneca', 'especimen', 'presentar', 'fiebre', 'mantener', 'alimentar', 'hidratado', 'presentar', 'dolor brazo', 'sueno', 'mover', 'pique', 'varita', 'seguir', 'vivo']",19.444937,-99.180678
72,"['canto', 'victoria', 'seguir', 'fuerte', 'dolor brazo', 'hipotesis', 'reaccion', 'moderna', 'principal', 'robot']",19.484399,-99.118665
73,"['tumbado', 'cama', 'fiebre', 'dolor cuerpo', 'cansancio', 'vacuna', 'pasar', 'esposa', 'vacuna']",19.357102,-99.1919955
74,"['vacuna', 'papas', 'dolor cuerpo', 'cansancio']",19.357102,-99.1919955
75,"['vacuna', 'miercoles', 'sintoma', 'reaccion', 'nausea', 'dolor cuerpo', 'cabeza', 'cansancio', 'generalizado', 'amaneci']",19.3998346,-99.1843501
76,"['dosis', 'astrazeneca', 'cansado', 'dormir', 'despertar', 'dolor', 'molesto', 'efecto', 'secundario']",19.3998346,-99.1843501
77,"['bren', 'padre', 'sueno', 'vacuna', 'madre', 'cuerpo', 'cortar', 'dolor cabeza', 'pasar', 'tocar', 'ma']",19.087511,-99.315748
78,"['hablar', 'vacuna', 'amigo', 'conocido', 'reaccion', 'canon', 'vacuna', 'sorprender', 'reaccion', 'dolor brazo', 'vacuna', 'afortunado']",19.372499,-98.989059
79,"['dosis', 'aplicaron', 'mediodia', 'mediodia', 'reaccion', 'desperte', 'empapado', 'sudor', 'dolor cabeza', 'cansado', 'agua', 'paracetamol', 'dosis', 'reaccion']",19.444937,-99.180678
80,"['sputnik', 'vino', 'dolor cabeza', 'super', 'odioso', 'somnolencia']",19.357102,-99.1919955
81,"['efecto', 'vacuna', 'tos', 'dolor garganta', 'anoche', 'subir', 'temperatura', 'disculpar', 'molestia', 'gracias']",19.2970107,-99.2058092
82,"['poquito', 'dolor brazo', 'superleve', 'doctor', 'ibuprofeno', 'dios', 'gracias', 'vacuna']",19.498594,-99.2481811
83,"['vacuna', 'dosis', 'astrazeneca', 'recibir', 'vacuna', 'dolor brazo', 'sintoma', 'esperar', 'seguir', 'foto', 'subire', 'tren', 'mame']",19.2846922,-99.140238
84,"['temperatura', 'madrugada', 'dolor brazo', 'divino', 'foto', 'video', 'vacuna', 'foto', 'mareada', 'after', 'vacuna']",19.357102,-99.1919955
85,"['papas', 'vacuna', 'horrible', 'sintoma', 'embarazo', 'junten', 'dolor cabeza', 'temperatura']",19.198192,-99.0693801
86,"['vacuna', 'efecto', 'recordar', 'bello', 'dolor', 'mano', 'pierna', 'precioso', 'sueno', 'cansancio']",19.3863707,-99.259495
87,"['inoculado', 'dosis', 'esposa', 'moderna', 'dolor', 'cabron', 'cuerpo', 'fiebre', 'escalofrio', 'dolor', 'zona', 'vacuna', 'feria']",19.0763934,-99.7825792
88,"['ana', 'fatiga', 'poquito', 'dolor cabeza', 'dosis']",19.412031,-99.413769
89,"['aplicaron', 'vacunamoderna', 'vocacional', 'astrazeneca', 'pasar', 'reaccion', 'molestia', 'extremidad', 'dolor', 'ligero', 'ardor', 'lengua', 'levemente', 'escaldada', 'aumento', 'temperatura']",19.2846922,-99.140238
90,"['temperatura', 'dolor cabeza', 'cuerpo', 'seguir', 'vivo', 'paracetamol', 'vacante', 'vacuna', 'astrazeneca']",19.40519325,-99.09996271
91,"['dormir', 'reaccion', 'vacuna', 'pegar', 'fuerte', 'preferir', 'virus']",19.3998346,-99.1843501
92,"['alguien', 'vacuna', 'recientemente', 'sputnik', 'etiqueta', 'azul', 'reaccion']",19.484399,-99.118665
93,"['actualizacion', 'sentir', 'patada', 'sentir', 'fuerte', 'astrazeneca', 'sputnik']",19.3863707,-99.259495
94,"['sentir', 'mega', 'mareado', 'sputnik', 'normal', 'bicho']",19.357102,-99.1919955
95,"['vacuna', 'refuerzo', 'sputnik', 'empezar', 'sentir', 'cansancio']",19.444937,-99.180678
96,"['opinion', 'vivi', 'vacuna', 'proceso', 'indicacion', 'efecto', 'secundario', 'fiebre', 'dolor brazo', 'cansancio', 'dolor cabeza', 'comezon', 'zona', 'piquete', 'pedir', 'alcohol']",19.357102,-99.1919955
97,"['vacuna', 'quedar', 'cansancio', 'dolor brazo']",19.087511,-99.315748
98,"['pasar', 'sputnik', 'sentir', 'cansancio', 'escalofrio', 'reportar']",19.3998346,-99.1843501
99,"['dosis', 'vacuna', 'efecto', 'secundario', 'nausea', 'yadiositoporfavor']",19.3998346,-99.1843501
100,"['hola', 'covid', 'dosis', 'sputnik', 'leve', 'tos', 'temperatura', 'dolor cuerpo', 'dolor cabeza', 'cansancio', 'afortunadamente', 'gracias', 'doctor', 'detecte', 'sintoma', 'salida']",19.232228,-99.324375
