,tweet,lon,lat
85,"['chavos', 'vacuna', 'onda', 'apoyar', 'trafico', 'indicar', 'estacionar', 'falta', 'entender', 'aposentos', 'elemento', 'transito', 'cal', 'guadalupe', 'costar', 'prepa']",-99.13397104447684,19.307734275669382
86,"['pase', 'lanzar', 'sputnik', 'necesario', 'fiebre', 'hora']",-99.140238,19.2846922
87,"['adivinen', 'diarrea', 'fiebre', 'dolor muscular']",-99.259495,19.3863707
88,"['angel', 'regia', 'lista', 'lucir', 'nombre', 'martin', 'ojeada', 'godoy', 'cruz', 'morir', 'lucir', 'kane', 'janssen', 'romo', 'llenar', 'boleto', 'cambio', 'tigre', 'gracias']",-99.1843501,19.3998346
89,"['cansancio', 'infame', 'fisico', 'quitar', 'acostada', 'dormir', 'hora', 'retomar', 'terapia']",-99.259495,19.3863707
90,"['sueno', 'falta', 'moderna']",-99.1843501,19.3998346
91,"['playlist', 'vacuna', 'hora', 'sentado', 'stupid']",-99.137171,19.375769
92,"['disque', 'registro', 'vacuna', 'vacuna', 'ine', 'registronoma', 'entender']",-99.1919955,19.357102
93,"['entendiste', 'explicacion', 'vacuna', 'aire', 'cara']",-99.1843501,19.3998346
94,"['aceptemo', 'generacion', 'disco', 'registremonos', 'vacuna', 'chavos']",-99.0693801,19.198192
95,"['ojala', 'vacuna', 'quitara', 'dolor', 'ciaticar']",-99.180678,19.444937
96,"['llamar', 'paulino', 'encontrar', 'arbusto', 'comian', 'perro', 'sano', 'vacuna', 'desparasitar', 'esterilizar', 'paulino', 'bebe', 'interesar', 'adoptar', 'requisito', 'adopcioneslunaytamara']",-99.1919955,19.357102
97,"['dosis', 'vacuna', 'pfizer', 'bio', 'tech', 'co', 'madrugada', 'escalofrio', 'fiebre', 'volver', 'malo', 'noche', 'vida', 'perdido', 'covid']",-99.2058092,19.2970107
98,"['anunciar', 'vacuna', 'persona', 'diario', 'feliz', 'avance', 'terrible']",-99.1919955,19.357102
99,"['creador', 'calentamiento', 'global', 'tierra', 'plano', 'vacuna', 'traer', 'chip', 'controlen', 'iluminati', 'llegar', 'banda', 'antioxigeno', 'nomas', 'pendejo', 'alto']",-99.1843501,19.3998346
100,"['estimado', 'don', 'caballo', 'vacuna', 'iq', 'vacuna', 'discriminan', 'saludo']",-99.1843501,19.3998346
101,"['pregunta', 'pedir', 'prueba', 'covid', 'esquema', 'vacuna', 'entrar', 'partido', 'llego', 'viernes', 'guadalajara', 'torneo', 'control', 'gracias', 'finals']",-99.1919955,19.357102
102,"['variable', 'gripa', 'ronquera', 'congestion', 'leve', 'tos', 'dolor garganta', 'fiebre', 'cansancio', 'perder', 'olfato', 'gusto', 'hiciste', 'prueba', 'unico', 'forma', 'descartar', 'covid', 'gripa']",-99.1600234,19.152878
103,"['alexa', 'cansancio', 'terrible', 'cero', 'energia', 'desempacar']",-99.259495,19.3863707
104,"['sabado', 'hora', 'andaremos', 'vacuna', 'falta']",-99.2058092,19.2970107
105,"['resfriado', 'comun', 'horrible', 'fiebre', 'cansancio', 'dolor muscular', 'abrazo']",-99.1919955,19.357102
106,"['sonar', 'delicioso', 'robar', 'energia', 'entender', 'cansancio']",-99.140238,19.2846922
107,"['dosis', 'prudente', 'regresar', 'gimnasio']",-99.2058092,19.2970107
108,"['florencia', 'mariguano', 'venir', 'hablar', 'hablar', 'vacuna']",-99.1919955,19.357102
109,"['cuidense', 'cuiden', 'gente', 'ojala', 'vacuna', 'merecer']",-99.259495,19.3863707
110,"['rencrisis', 'podcast', 'hablar', 'docencia', 'vacuna', 'doctor', 'rene', 'alcanzara', 'ojala', 'agrado', 'gracias', 'invitacion']",-99.1919955,19.357102
111,"['abrazo', 'beso', 'acostumbramo', 'ochentero', 'noventero', 'ey', 'canijo', 'chavos', 'chavorruco', 'nostalgia', 'musical', 'dosis']",-99.137171,19.375769
112,"['politico', 'antivacuna', 'aplicaron', 'dosis', 'fiel', 'seguidor', 'andar', 'jugar', 'macho']",-99.1843501,19.3998346
113,"['mama', 'recibir', 'vacuna', 'molestia', 'regresar', 'alma', 'cuerpo', 'falta', 'papa', 'vacuna', 'astrazeneca']",-99.1919955,19.357102
114,"['miedo', 'vacuna', 'aire', 'entrar']",-99.259495,19.3863707
115,"['maldito', 'vacuna', 'tiro']",-99.1843501,19.3998346
116,"['porno', 'helado', 'serie', 'historia', 'moderna']",-99.1843501,19.3998346
117,"['chido', 'minuto', 'vacuna', 'sala', 'observacion', 'joya']",-99.1919955,19.357102
118,"['mero', 'curiosidad', 'cuarentones', 'azcapotzalco', 'vacuna', 'poli', 'zacatenco', 'gam', 'vivo', 'gam', 'afectar', 'nomas', 'curiosidad']",-99.180678,19.444937
119,"['desvelado', 'despeinado', 'hambre', 'dosis', 'campo', 'marte', 'miguel', 'hidalgo']",-99.19679495,19.42385214
120,"['vacuna', 'sintoma', 'hora', 'esperar', 'pasen', 'um']",-99.18357542,19.50293888
121,"['ufo', 'mirar', 'definitivo', 'cansancio', 'sueno', 'oler', 'combatir', 'insomnio', 'gente', 'flor', 'almohada', 'secar', 'arrancar', 'flor', 'oler', 'proposito', 'peligro', 'senora', 'planta']",-99.1919955,19.357102
122,"['pobrecito', 'loco', 'robar', 'cansancio']",-99.1919955,19.357102
123,"['duda', 'juego', 'dolor muscular', 'inconforme', 'minuto', 'opinar']",-99.259495,19.3863707
124,"['daban', 'gana', 'molestar', 'paladin', 'repetimo', 'dosis', 'pasen', 'mes', 'arrojarme']",-99.2058092,19.2970107
