,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
749,7.0,0.7057,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['amigo', 'solitario', 'paciente', 'dosis', 'vacuna', 'torre', 'alto', 'flujo', 'soporte', 'oxigenoporfavor', 'confiar', 'acabar']",19.444937,-99.180678
770,7.0,0.6541,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['hola', 'papa', 'mama', 'positivo', 'recuperar', 'vacuna', 'tocar', 'alcaldia', 'medico', 'vacuna', 'registre', 'loco']",19.357102,-99.1919955
784,7.0,0.4273,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['necesitar', 'football', 'concierto', 'luism', 'table', 'mumble', 'vacuna']",19.444937,-99.180678
811,7.0,0.5858,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['tic', 'cansancio', 'sintoma', 'neurologico', 'deberia', 'medico', 'recurrente', 'normal', 'suerte']",19.2846922,-99.140238
822,7.0,0.8199,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ojala', 'papa', 'vacuna', 'eu', 'rapido', 'llegar', 'vacuna']",19.2846922,-99.140238
837,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['javi', 'vacuna', 'malestar', 'amable', 'tocar', 'deis']",19.087511,-99.315748
848,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['miedo', 'vacuna', 'coger', 'condon', 'manana', 'mundo']",19.3998346,-99.1843501
855,7.0,0.4511,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['vacuna', 'vacuna', 'ronde', 'dosis', 'concuerdo', 'mexicano', 'valer', 'versshh', 'hable', 'padre', 'madre', 'hijo', 'buscar', 'alguien']",19.2846922,-99.140238
869,7.0,0.5456,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['veterinario', 'pobrecito', 'dejelo', 'atendemo', 'gratis', 'aparte', 'internamiento', 'necesitar', 'vacuna', 'esterilizacion', 'desparasitacion', 'echaran', 'calle']",19.444937,-99.180678
873,7.0,0.4133,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['caer', 'onda', 'votarporque', 'tocar', 'lucha', 'oir', 'razonable', 'ojo', 'carisma', 'tozudez', 'apariencia', 'garantizar', 'ciudadano', 'capacidad', 'gobernabilidad', 'dosis', 'razonable', 'grande', 'eficacia']",19.357102,-99.1919955
877,7.0,0.4055,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['medico', 'farmacia', 'querido', 'monica', 'joven', 'expuesto', 'ganar', 'sentir', 'valer', 'pena', 'vacuna', 'tod', 'beso']",19.357102,-99.1919955
888,7.0,0.82,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['necesitar', 'dosis', 'concentrado', 'arte', 'wagner', 'moderno', 'feliz', 'musica', 'estruendosament', 'belleza']",19.3998346,-99.1843501
902,7.0,0.7749,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['tocar', 'vacuna', 'covid', 'abuela']",19.3998346,-99.1843501
916,7.0,0.4848,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['acabar', 'vacuna', 'dosis', 'excelente', 'organizacion', 'sentir', 'fatigado']",19.412031,-99.413769
925,7.0,0.8714,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['manana', 'tocar', 'refuerzo', 'astrazeneca', 'experiencia', 'dosis', 'tumba']",19.3863707,-99.259495
926,7.0,0.6809,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['cardio', 'manana', 'aplicaron', 'dosis', 'sentir', 'animo', 'termine', 'rutina']",19.3998346,-99.1843501
940,7.0,0.4472,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['dificiltenia', 'cansancio', 'noche', 'desvele', 'cuidar', 'zona', 'apurar', 'salir', 'casa', 'mama', 'trabajollegando', 'estres', 'clima', 'lluvioso', 'mente', 'pensar', 'pasar', 'zona', 'recuperar']",19.3998346,-99.1843501
956,7.0,0.4835,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['sentir', 'envidia', 'publican', 'papas', 'mamas', 'vacuna', 'ojala', 'gato']",19.357102,-99.1919955
957,7.0,0.7411,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['gracias', 'seguir', 'continuacion', 'vacuna', 'tranquilo', 'ojala', 'persona', 'duda', 'vacuna', 'muestro', 'pasar', 'oportunidad', 'manana', 'lamente']",19.0763934,-99.7825792
959,7.0,0.4871,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['lleve', 'vacuna', 'abuela', 'zacatenco', 'super', 'rapido']",19.456367,-99.221136
960,7.0,0.443,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['dosis', 'astrazeneca', 'papas', 'neta', 'sentir', 'chino', 'paz']",19.444937,-99.180678
967,7.0,0.5613,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['porno', 'entender', 'tardar', 'valio', 'pena', 'afortunadamente', 'vacuna', 'mama', 'tocar']",19.2846922,-99.140238
983,7.0,0.4837,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['precisamente', 'vacuna', 'sentir', 'estafada', 'sentir', 'chip', 'senal', 'magnetismo']",19.357102,-99.1919955
1011,7.0,0.3667,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['diras', 'broma', 'principal', 'duda', 'vacuna', 'preguntar']",19.456367,-99.221136
1036,7.0,0.4244,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['estimados', 'centro', 'vacuna', 'facilidad', 'persona', 'oxigeno', 'trasladan', 'silla', 'rueda', 'creer', 'persona', 'vacunadas', 'automovil']",19.087511,-99.315748
1037,7.0,0.526,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['chingo', 'gafe', 'duda', 'cualidad', 'mentalidad', 'distinto', 'resto', 'mejorar', 'joven', 'perfeccionar', 'europo', 'duda', 'oportunidad', 'chiva', 'hacios']",19.375099,-98.940638
1051,7.0,0.458,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['cansancio', 'jaja', 'litera']",19.232228,-99.324375
1053,7.0,0.3704,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['merecer', 'vacuna', 'merecemos', 'esperanza', 'palabra', 'doc']",19.4043522,-99.128294
1060,7.0,0.5499,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['oficialmente', 'papa', 'vacuna']",19.232228,-99.324375
1072,7.0,0.3691,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['seguro', 'hosp', 'vacuna', 'valer', 'kilogramo']",19.3059713,-99.4041647
