cluster,lat,lon
entregar papel definitivamente sesgo pfizer astrazeneca querer vender farmaceutico vender ultranza producto presionan gobierno vacuna nino bus biologo pensar ,19.232228,-99.324375
vacuna ruso barato efectivo ,19.357102,-99.1919955
vacuna nino grandisimo hijo mil ,19.412031,-99.413769
hola doctor llegar pasar placebo poner booster vacuna esquema completo importar dosis gracias ,19.232228,-99.324375
dosis mexico city mexico ,19.4326,-99.1332
jefecito vacuna ,19.498594,-99.2481811
tercero dosis ,19.3668621,-99.067766
duda hora exacto cita marca vacuna esperar astrazeneca ,19.412031,-99.413769
hoja previo llenaste vacuna certificado vacuna ,19.444937,-99.180678
tocar vacuna ano septiembre seguir vivo lopez ,19.2970107,-99.2058092
vacuna ver pianista pista equivoquesfarsante ,19.357102,-99.1919955
acabar vacuna ,19.384092369991457,-99.03729974813807
dosis vacuna organizacion atencion rapidez pd alguien iniciar entrenamiento montar oso sputnik vACUnAcOVID como ,19.2970107,-99.2058092
astrazeneca millon dosis vacuna latinoamericano astrazeneca demorada falta envase via ,19.198192,-99.0693801
suegro suegra coyoacan pfizer mama venusiano arrancar cansino ir nivel ,19.2970107,-99.2058092
llanto venir dosis covid ,19.51799,-99.330259
vacuna covid influenza colocar venir invierno susceptible protegido retrasen vacuna influenza amp covid ,19.3998346,-99.1843501
faltar recibir dosis ,19.357102,-99.1919955
oh emocion tocar refuerzo vacuna tu ,19.2970107,-99.2058092
cansino aplicado entusiasma ,19.3998346,-99.1843501
fecha vacuna influenza ,19.2156239,-99.6470277
hablar vacuna wey mio covid vacunamoderna memesespanol tocar mexico ,19.289341,-99.655794
vacuna valer madre ,19.51799,-99.330259
dosis vacuna covid secretaria marina sa pablo tepetlapo ,19.31931587,-99.11445883
fijaron quejumbroso poner vacuna ,19.3998346,-99.1843501
vacuna manana ,19.357102,-99.1919955
papas vacuna dosis ,19.3998346,-99.1843501
dosis congruencia senador ,19.375769,-99.137171
afortunado tener puebla como dosis astrazeneca complicacion ,19.3998346,-99.1843501
astrazeneca cosquilla sputnik atropellar camion ,19.3998346,-99.1843501
pfizer asta saldo blanco ,19.0763934,-99.7825792
tardas aplicando vacuna campo marte saludo ,19.3998346,-99.1843501
investigar vacuna poner aplicar quimioterapiapara efecto molesto ,19.357102,-99.1919955
dosis tocar pasar funcionar proceder caso ,19.0763934,-99.7825792
farmacologia querer poner ruso alergio candidata pfizer moderna importante vacuna suficiente requerimos ruso poner ,19.412031,-99.413769
meticuloso vacuna ,19.3668621,-99.067766
vacuna brazo izquierdo ,19.357102,-99.1919955
dar servicio vacuna hija vacuna mes suspender evento ,19.3998346,-99.1843501
prioridad vacante ,19.375769,-99.137171
fecha dosis ,19.232228,-99.324375
vacuna dosis semana retraso ,19.198192,-99.0693801
vacuna covid avanzar ritmo olgo sanchez cordero tv ,19.3863707,-99.259495
dosis leon ,19.3059713,-99.4041647
madre recibir vacuna covid ,19.2156239,-99.6470277
amiguis camion semaforo vacuna pasion ,19.0763934,-99.7825792
minuto enlo aplicacion vacuna excelente organizacion gustavo madero ,19.444937,-99.180678
porno insomnio lupe esparza done pectoral sacar vacuna maldito covid efectividad ,19.2846922,-99.140238
efecto colateral vacuna moquillo calcificacion grena ,19.357102,-99.1919955
dosis lista esperar version megatron covid llame ,19.484399,-99.118665
pelicula leyenda vacuna convertir zombie ,19.357102,-99.1919955
manden millon dosis hosp aviso ,19.357102,-99.1919955
revolucion vacuna ,19.087511,-99.315748
extranaba dosis smog rato cerro chiquihuitegam ,19.444937,-99.180678
centro vacuna covid venusiano arrancar sede palacio deporte in venusiano arrancar como ,19.403485,-99.100256
dosis benito juarez ,19.3863707,-99.259495
clave exito fortuna john rockefeller hombre rico historia moderna via ,19.232313,-99.364536
beneficio vacuna ,19.357102,-99.1919955
registrado pagina vacuna ,19.4043522,-99.128294
acabar dosis tardar ,19.2846922,-99.140238
suministrar dosis cultura oposicion neofita enloquecer ,19.3668621,-99.067766
metodo cualitativo fei separacion septal punto dilatacion auricula terminar bloquear amigo dosis fraccionada peri miligramo lido miligramo morfina volumen ml tran norte mcgkgmin alumbramiento ,19.444937,-99.180678
vacuna fin electoral salvajada ,19.3998346,-99.1843501
dosis mio nezahualcoyotl ,19.3668621,-99.067766
falta vacuna xd ,19.2846922,-99.140238
pedir proveedor empleado trabajar jornada vacuna contrato extra poner tocar ,19.3998346,-99.1843501
covid vacuna efecto wolverine ,19.357102,-99.1919955
tocar dosis vacuna ,19.232313,-99.364536
perder millon dosis ,19.152878,-99.1600234
vacuna pepsi center rapido baile ritmo marc anthony hacer efecto ,19.357102,-99.1919955
cuauhtemoc pfizer gracias adaptar ,19.3863707,-99.259495
vacuna prioridad ,19.2846922,-99.140238
gay dosis lista amigo maestro conocido oportunidad llevar covid seguir cuidando vacuna astrazeneca ,19.331979863760115,-99.19221715772866
falta dosis inspiracion ,19.2970107,-99.2058092
moderna lucida que joven ,19.3059713,-99.4041647
junio hablar vacuna ,19.232228,-99.324375
refuerzo vacuna reflejar certificado vacuna covid esquema completo primario reflejar descargar actualizado cc ,19.3863707,-99.259495
vacuna directamente ,19.3998346,-99.1843501
alegraste fila vacuna ,19.3998346,-99.1843501
refuerzo vacuna regreso resultar bronco cambiar russell wilson dar ,19.412031,-99.413769
vacuna rato cuento ,19.2846922,-99.140238
pretexto vacuna ,19.498594,-99.2481811
lio viajar europo vacuna prueba formato gestion pese nervioso covid ,19.3863707,-99.259495
vacuna buscar alguien ,19.232228,-99.324375
aprobar vacuna oxford astrazeneca ,19.3863707,-99.259495
dosis vacuna covid madre encantar cancion seguir bajemos guardia cubrebocas obligatorio ,19.3998346,-99.1843501
vacuna programado put ,19.2846922,-99.140238
vacuna farsa show ,19.444937,-99.180678
poner dosis disculpa mencionado noticiero ,19.232228,-99.324375
dosis cu tocar dosis ,19.357102,-99.1919955
comparativo costo tecnologia eficiencia vacuna anti covid importancia mexico otorgar emergente astrazeneca doctor alejandro hacios ,19.3863707,-99.259495
vacuna mexico ,19.2970107,-99.2058092
poner estadio beisbol vacuna mexico poner vacuna estadio beisbol ,19.357102,-99.1919955
felicidad esperar pacientemente llegar vacuna ,19.3998346,-99.1843501
nota falso vacuna eliminaste bar nota falso ,19.087511,-99.315748
vacuna goes sacar beso ,19.375099,-98.940638
amar latin americo covid machine scandal claims third health minister argentino health minister resigne on feb did both the permian initial pfizerbiontech shipment only incluir doses for people view article ,19.47743572,-99.12826538
dosis vacuna iztapalapa ,19.152878,-99.1600234
vacuna joven seguir estudiar ,19.3059713,-99.4041647
espiar tranquilidad gp wifi foto efecto vacuna astrazeneca coyoacan distrito federal mexico ,19.3354,-99.1478
querer vacuna covid estudio wey estudio ,19.456367,-99.221136
cambiar vacuna chino ruso ,19.3998346,-99.1843501
salten fila vacuna extranjero vacuna enganando autoridad pais castigar mexico poner dosis mexicano dosis covid aplicado ,19.3998346,-99.1843501
cumplir deber civico covid vacuna astrazeneca ,19.484448980140545,-99.05053926715792
vacuna premio ,19.3668621,-99.067766
hola vacuna ,19.0763934,-99.7825792
esperar lote venir vacuna ,19.3668621,-99.067766
